,term,frequency
0,версия,3519
1,pc,2676
2,bd,2214
3,цифровая,2003
4,регион,1849
5,русская,1450
6,jewel,1370
7,the,1118
8,1с,1072
9,cd,979
10,of,912
11,mp3,864
12,dvd,856
13,фирм,757
14,xbox,732
15,ps3,728
16,edition,677
17,фигурка,667
18,для,625
19,коллекция,576
20,360,558
21,digipack,553
22,3d,534
23,lp,524
24,на,478
25,арт,464
26,2cd,452
27,русские,420
28,сб,406
29,субтитры,402
30,игра,396
31,футболка,356
32,игрушка,351
33,английская,345
34,набор,334
35,box,321
36,издание,308
37,мягкая,307
38,аудиокниги,300
39,документация,284
40,creed,277
41,assassin,268
42,настольная,258
43,black,233
44,выпуск,228
45,ps,225
46,по,223
47,сезон,218
48,2lp,218
49,one,212
50,ps4,211
51,wb,207
52,collection,204
53,series,202
54,rem,194
55,том,192
56,комплект,189
57,10,182
58,за,179
59,essentials,174
60,best,169
61,war,168
62,из,167
63,live,166
64,наклейки,163
65,ввс,162
66,in,161
67,ii,161
68,сказки,154
69,2013,152
70,12,152
71,pack,151
72,история,148
73,школа,148
74,образовательная,147
75,psp,147
76,time,145
77,приключения,145
78,черная,145
79,russian,144
80,call,142
81,duty,137
82,security,137
83,комикс,133
84,2dvd,131
85,vita,130
86,брелок,130
87,игры,130
88,for,130
89,песни,128
90,2014,127
91,disney,126
92,только,125
93,дополнение,124
94,классика,123
95,nanoblock,122
96,year,121
97,deluxe,121
98,adventure,120
99,кружка,119
100,11,118
101,world,118
102,grand,117
103,часть,116
104,warhammer,115
105,wd,115
106,год,115
107,and,114
108,как,112
109,minecraft,111
110,не,110
111,без,110
112,см,110
113,головоломка,109
114,limited,109
115,2012,108
116,batman,108
117,кино,104
118,любовь,103
119,лучшее,102
120,hits,101
121,мир,101
122,skylanders,100
123,смешарики,97
124,kaspersky,97
125,star,96
126,iv,96
127,новая,96
128,познавательная,96
129,черный,96
130,детям,96
131,лучшие,95
132,move,93
133,легенды,92
134,100,92
135,wot,91
136,класс,90
137,pro,90
138,человек,90
139,серии,89
140,медведь,89
141,интерактивная,88
142,xl,88
143,gold,88
144,все,88
145,sony,87
146,книга,87
147,ultimate,87
148,3cd,87
149,поддержкой,86
150,вып,85
151,with,84
152,iii,83
153,язык,82
154,space,82
155,lego,81
156,kinect,81
157,2015,80
158,музыка,80
159,рус,79
160,wars,79
161,dead,79
162,super,79
163,birds,78
164,день,78
165,sims,78
166,fifa,78
167,borderlands,78
168,маша,76
169,remastered,76
170,angry,75
171,жизнь,75
172,коллекционное,75
173,deep,75
174,battlefield,75
175,logo,75
176,со,74
177,пк,74
178,13,74
179,владимир,73
180,изд,73
181,classics,73
182,сказка,73
183,red,71
184,to,70
185,dark,70
186,лет,70
187,puzzle,70
188,need,69
189,speed,69
190,platinum,69
191,original,69
192,internet,69
193,game,68
194,ray,68
195,80,68
196,pink,67
197,сборник,67
198,три,67
199,digibook,66
200,dc,66
201,кл,66
202,карта,66
203,английский,66
204,игровой,66
205,ops,65
206,dance,65
207,sonic,64
208,cry,64
209,битва,64
210,pс,64
211,dragon,63
212,greatest,63
213,trance,63
214,purple,63
215,music,63
216,бух,63
217,гарри,62
218,герои,62
219,blue,62
220,хоббит,62
221,рассказы,62
222,код,62
223,александр,61
224,до,61
225,club,61
226,высоцкий,60
227,йо,60
228,истории,60
229,15,59
230,ред,59
231,beatles,59
232,infinity,59
233,total,58
234,gb,58
235,4dvd,58
236,far,58
237,самые,57
238,at,57
239,new,57
240,14,57
241,контроллер,57
242,поттер,57
243,king,56
244,recording,56
245,от,56
246,софтклаб,56
247,20,56
248,slim,55
249,500,55
250,специальное,55
251,война,55
252,pop,55
253,времени,55
254,home,55
255,vs,55
256,planet,54
257,cech,54
258,floyd,54
259,курс,54
260,love,54
261,игрушек,54
262,борис,53
263,лицензия,53
264,2011,53
265,фигурок,53
266,force,52
267,4cd,52
268,on,52
269,blu,52
270,movavi,52
271,warfare,52
272,cast,52
273,30,51
274,беспроводной,51
275,base,51
276,dr,51
277,40,51
278,пираты,51
279,войны,51
280,любимые,51
281,земля,51
282,управление,50
283,premium,50
284,русский,50
285,люди,50
286,михаил,50
287,трансформеры,49
288,tom,49
289,3dvd,49
290,fantasy,49
291,evil,49
292,metal,49
293,года,49
294,white,48
295,лунтик,48
296,детей,48
297,путешествие,48
298,warcraft,48
299,web,47
