,term,frequency
0,версия,3519
7,the,1118
10,of,912
18,для,625
24,на,478
46,по,223
57,10,182
58,за,179
62,из,167
66,in,161
88,for,130
96,year,121
100,11,118
103,часть,116
104,warhammer,115
106,год,115
107,and,114
108,как,112
110,не,110
111,без,110
112,см,110
114,limited,109
121,мир,101
126,iv,96
134,100,92
137,pro,90
151,with,84
162,super,79
178,13,74
180,изд,73
184,to,70
186,лет,70
224,до,61
229,15,59
234,gb,58
237,самые,57
238,at,57
239,new,57
240,14,57
245,от,56
247,20,56
249,500,55
250,специальное,55
255,vs,55
268,on,52
273,30,51
276,dr,51
277,40,51
293,года,49

